data,co_aluno,co_turma,presenca
2020-01-15,1,1,0
2020-01-16,1,1,1
2020-01-17,1,1,1
2020-01-18,1,1,0
2020-01-19,1,1,1
2020-01-22,1,1,1
2020-01-23,1,1,1
2020-01-24,1,1,0
2020-01-27,1,1,1
2020-01-28,1,1,1
2020-01-29,1,1,1
2020-02-01,1,1,1
2020-02-02,1,1,1
2020-02-03,1,1,1
2020-02-06,1,1,1
2020-02-07,1,1,0
2020-02-08,1,1,1
2020-02-11,1,1,1
2020-02-12,1,1,1
2020-02-13,1,1,1
2020-02-16,1,1,1
2020-02-17,1,1,1
2020-02-18,1,1,0
2020-02-21,1,1,1
2020-02-22,1,1,0
2020-02-23,1,1,1
2020-02-26,1,1,1
2020-02-27,1,1,1
2020-02-28,1,1,1
2020-03-02,1,1,1
2020-03-03,1,1,0
2020-03-04,1,1,1
2020-03-07,1,1,1
2020-03-08,1,1,1
2020-03-09,1,1,0
2020-03-12,1,1,1
2020-03-13,1,1,1
2020-03-14,1,1,1
2020-03-17,1,1,1
2020-03-18,1,1,1
2020-03-19,1,1,1
2020-03-22,1,1,1
2020-03-23,1,1,1
2020-03-24,1,1,1
2020-03-27,1,1,1
2020-03-28,1,1,1
2020-03-29,1,1,1
2020-04-01,1,1,1
2020-04-02,1,1,1
2020-04-03,1,1,1
2020-04-06,1,1,0
2020-04-07,1,1,1
2020-04-08,1,1,1
2020-04-11,1,1,1
2020-04-12,1,1,1
2020-04-13,1,1,1
2020-04-16,1,1,1
2020-04-17,1,1,1
2020-04-18,1,1,1
2020-04-21,1,1,1
2020-04-22,1,1,0
2020-04-23,1,1,1
2020-04-26,1,1,1
2020-04-27,1,1,1
2020-04-28,1,1,1
2020-05-01,1,1,1
2020-05-02,1,1,0
2020-05-03,1,1,0
2020-05-06,1,1,0
2020-05-07,1,1,1
2020-05-08,1,1,1
2020-05-11,1,1,0
2020-05-12,1,1,0
2020-05-13,1,1,1
2020-05-16,1,1,1
2020-05-17,1,1,0
2020-05-18,1,1,1
2020-05-21,1,1,1
2020-05-22,1,1,0
2020-05-23,1,1,1
2020-05-26,1,1,0
2020-05-27,1,1,1
2020-05-28,1,1,0
2020-05-31,1,1,0
2020-06-01,1,1,1
2020-06-02,1,1,1
2020-06-05,1,1,1
2020-06-06,1,1,1
2020-06-07,1,1,0
2020-06-10,1,1,1
2020-06-11,1,1,1
2020-06-12,1,1,1
2020-06-15,1,1,1
2020-06-16,1,1,0
2020-06-17,1,1,0
2020-06-20,1,1,0
2020-06-21,1,1,0
2020-06-22,1,1,1
2020-06-25,1,1,0
2020-06-26,1,1,1
2020-06-27,1,1,0
2020-06-30,1,1,1
2020-07-01,1,1,0
2020-07-02,1,1,0
2020-07-05,1,1,1
2020-07-06,1,1,0
2020-07-07,1,1,1
2020-07-10,1,1,1
2020-07-11,1,1,1
2020-07-12,1,1,1
2020-07-15,1,1,1
2020-07-16,1,1,0
2020-07-17,1,1,1
2020-07-20,1,1,0
2020-07-21,1,1,1
2020-07-22,1,1,0
2020-07-25,1,1,1
2020-07-26,1,1,1
2020-07-27,1,1,1
2020-07-30,1,1,1
2020-07-31,1,1,0
2020-08-01,1,1,1
2020-08-04,1,1,1
2020-08-05,1,1,1
2020-08-06,1,1,1
2020-08-09,1,1,0
2020-08-10,1,1,1
2020-08-11,1,1,0
2020-08-14,1,1,1
2020-08-15,1,1,0
2020-08-16,1,1,1
2020-08-19,1,1,1
2020-08-20,1,1,1
2020-08-21,1,1,1
2020-08-24,1,1,1
2020-08-25,1,1,1
2020-08-26,1,1,1
2020-08-29,1,1,0
2020-08-30,1,1,1
2020-08-31,1,1,1
2020-09-03,1,1,0
2020-09-04,1,1,0
2020-09-05,1,1,1
2020-09-08,1,1,1
2020-09-09,1,1,1
2020-09-10,1,1,1
2020-09-13,1,1,0
2020-09-14,1,1,0
2020-09-15,1,1,1
2020-09-18,1,1,1
2020-09-19,1,1,1
2020-09-20,1,1,1
2020-09-23,1,1,0
2020-09-24,1,1,1
2020-09-25,1,1,0
2020-09-28,1,1,1
2020-09-29,1,1,1
